id_station,avg_h,n_years,Area_m^2,real_time,10_days,20_days,clim
ADO_DSC_AT12_0280,823.5164,38,95887770041,0.814662,0.764482,0.65281,0.369425
ADO_DSC_AT31_0206,872.9106,38,2751620001,0.82084,0.736166,0.593132,0.407926
ADO_DSC_AT31_0254,841.5974,38,3399230005,0.787669,0.735637,0.622263,0.377234
ADO_DSC_CH03_0075,1063.1466,40,34829180025,0.843057,0.814426,0.714903,0.236064
ADO_DSC_CH04_0011,775.2828,40,1735489999,0.804481,0.708743,0.499319,0.05151
ADO_DSC_CH05_0201,914.72107,38,1117929999,0.752536,0.654567,0.484409,0.139582
ADO_DSC_CH07_0006,1674.662,40,1527149999,0.798694,0.747267,0.552854,0.454593
ADO_DSC_CH07_0100,1526.8877,40,931250003.7,0.786327,0.637844,0.420805,0.198244
ADO_DSC_CH07_0147,1787.6193,40,447350002,0.765559,0.697853,0.589761,0.470122
ADO_DSC_FRK2_0041,935.9386,40,1128220006,0.834293,0.758438,0.62598,0.308022
ADO_DSC_FRK2_0042,776.8045,39,71176990045,0.9366,0.900676,0.776568,0.287352
ADO_DSC_ITC1_0020,1255.7024,10,13724050007,0.69372,0.661508,0.572667,0.42057
ADO_DSC_ITC1_0037,957.21265,23,25674740018,0.775482,0.713412,0.573304,0.29146
ADO_DSC_ITC1_0072,1531.8259,17,855849998.7,0.688958647,0.654172138,0.55193785,0.378261128
ADO_DSC_ITH1_0012,1796.3625,39,6999299990,0.87719,0.82894,0.71941,0.62457
ADO_DSC_ITH2_0035,1652.2571,25,10637379991,0.798555,0.783049,0.732289,0.477854
ADO_DSC_SI03_0033,1298.3024,40,12629940008,0.778164,0.688002,0.548804,0.135504
ADO_DSC_SI03_0148,454.9144,18,894400001.3,0.614462,0.469941,0.216246,0.181315
