,name,mean_h
0,ADO_DSC_CH03_0075,1063.1466
1,ADO_DSC_AT31_0254,841.5974
2,ADO_DSC_ITC1_0072,1531.8259
3,ADO_DSC_ITC1_0020,1255.7024
4,ADO_DSC_CH07_0147,1787.6193
5,ADO_DSC_AT31_0206,872.9106
6,ADO_DSC_ITH1_0012,1796.3625
7,ADO_DSC_AT12_0280,823.5164
8,ADO_DSC_CH07_0100,1526.8877
9,ADO_DSC_CH05_0201,914.72107
10,ADO_DSC_SI03_0148,454.9144
11,ADO_DSC_ITC1_0037,957.21265
12,ADO_DSC_FRK2_0042,776.8045
13,ADO_DSC_CH04_0011,775.2828
14,ADO_DSC_ITH2_0035,1652.2571
15,ADO_DSC_SI03_0033,1298.3024
16,ADO_DSC_FRK2_0041,935.9386
17,ADO_DSC_ITH5_0006,783.97107
18,ADO_DSC_CH07_0006,1674.662
